,population,extent_raw,extent_fun,n_raw,n_fun,bioclim,lon,lat,bioclim_std,brt,brt_std,domain,domain_std,glm,glm_std,mahal,mahal_std,maxent,maxent_std,rf,distance
2,Águia Branca,11.4068400685363,7.04418444448392,17,17,0.39862542765492,-40.7861111111111,-18.8747222222222,0.398625428477923,0.999799627121797,0.999799638986588,0.962137600198141,0.962137594819069,0.801931106471816,0.801931120455265,0.967369960379989,0.967369973659515,0.732805452117684,0.732805460691452,1,93796.7817972637
4,Belo Horizonte,9.87567054735614,5.65574079941927,7,7,0.144329894645278,-43.991832,-20.014785,0.144329889677465,0.999699440682696,0.99969944357872,0.809491444288411,0.80949142575264,0.865083507306889,0.865083515644073,0.974812314145535,0.97481232881546,0.525893236766708,0.525893241167068,1,308784.216031156
10,Caraça,15.7336970942675,8.31147149848809,6,6,0.254295533380891,-43.483333,-19.966667,0.254295530418555,0.999499098377103,0.99949911236763,0.925949610208518,0.925949613253276,0.772790535838553,0.772790531317393,0.970084200445313,0.970084190368652,0.582442530842744,0.582442541917165,1,282608.51076115
12,Catas Altas,16.8431486885914,9.0860535684478,5,5,NA,-43.468291,-20.158518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267105.804743795
13,Chapada Diamantina,7.22922263568906,5.36197527540756,9,9,0.386597933000428,-41.3608056,-12.5729722,0.38659793138504,1,1,0.975308126124457,0.975308120250702,0.991257828810021,0.991257816553116,0.941703781470479,0.941703766584396,0.957804134759564,0.957804143428802,1,5774.8440672236
15,Córrego do Veado,8.10939690779318,4.50714731340499,20,20,0.0670103082679413,-40.2133,-18.3703,0.0670103076845407,0.907299814475163,0.907299816608429,0.90825137024004,0.908251365025838,0.645789839944328,0.645789831876755,0.964529042911137,0.964529037475586,0.621393897771187,0.621393889188766,0.998600006103516,52760.4063559574
17,Duas Bocas,7.14484613280579,9.32888889751502,5,5,0.103092783321444,-40.5113888888889,-20.2811111111111,0.103092782199383,1,1,0.942684877188584,0.942684888839722,0.995302713987474,0.995302736759186,0.948425789861388,0.948425769805908,0.990597686219521,0.990597665309906,1,15091.6596394413
18,Felício,8.22070228012914,3.04794019777785,5,5,0.247422674625482,-43.241278,-18.198528,0.24742267280817,1,1,0.887046611677414,0.887046615282694,0.960681976339596,0.960681974887848,0.929094524831671,0.929094533125559,0.886617911320193,0.886617918809255,1,276845.265733085
19,Forno Grande,6.01263258930858,5.98692811723251,6,6,0.123711341767727,-41.0838894,-20.5166672,0.123711340129375,1,1,0.768232019441028,0.768232047557831,0.976513569937369,0.976513564586639,0.949553372771152,0.949553370475769,0.980544992382075,0.980544984340668,1,50184.5487789646
20,Fragmentos,9.20137174510121,6.98949528572088,10,10,0.233676966024635,-42.964722,-22.563333,0.233676970005035,0.982969344821491,0.982969343662262,0.957750805955278,0.957750817139943,0.867432150313152,0.867432177066803,0.943645151977881,0.943645159403483,0.726788790781024,0.726788798967997,0.9995,14236.8648729568
24,Ilha Grande,5.96824549960906,3.74871629648129,6,6,0.0206185562187901,-44.188679,-23.1633277,0.0206185560673475,0.966038876082083,0.966038882732391,0.714302889055217,0.714302897453308,0.523225469728601,0.523225456476212,0.947053591548267,0.947053581476212,0.507676000460912,0.507675990462303,1,3323.8805087867
28,Jaíba,6.84115682355865,5.0124599736473,6,6,0,-43.760278,-15.068681,0,0.0112201964006699,0.011220196262002,0.723258670314584,0.723258674144745,0.00913361169102296,0.00913361180573702,0.779515197434813,0.779515206813812,0.0470975336241961,0.0470975339412689,0,1101.71704349356
31,Linhares,9.41290345794154,5.18158496662703,7,7,0.164948449750321,-39.95,-19.133333,0.16494844853878,1,1,0.914212769771212,0.914212763309479,0.954331941544885,0.954331934452057,0.952349665029587,0.952349662780762,0.967385496798623,0.967385470867157,1,1216.47813312948
32,Mangaratiba,3.72676441224808,6.05912413313016,5,5,0.128865974696819,-44.03,-22.96,0.128865972161293,0.50030053029721,0.500300541520119,0.561380198540227,0.561380214989185,0.274660751565762,0.274660758674145,0.840150275464132,0.840150266885757,0.362091852467978,0.362091843038797,0.512400009155273,2188.89130344499
35,Mocambinho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Pancas,7.13301713359929,4.61294117171054,6,6,0.371134007483236,-40.7713888888889,-19.2044444444444,0.371134009212255,0.999098367907002,0.999098375439644,0.952961702716903,0.95296170314153,0.571176931106472,0.571176931262016,0.97061262530881,0.97061263024807,0.578581607161299,0.578581608831882,1,81365.1647167928
40,Pedra Azul,6.7500441032692,5.0087273902066,5,5,0.185566999286632,-40.9666666666667,-20.4,0.185567006468773,1,1,0.86107929376699,0.861079275608063,0.960334029227557,0.960334002971649,1,1,0.947966316716375,0.947966337203979,1,54268.3712728753
41,Peti,8.30625678187435,6.71951385802403,18,18,0.144329891304038,-43.368611,-19.899167,0.144329890608788,0.999799627121797,0.999799609184265,0.913566027372706,0.913566052913666,0.83429018789144,0.834290206432343,1,1,0.698740559660027,0.698740541934967,1,278748.98456441
43,Reserva Vale,11.0689599592255,6.65663576066667,5,5,NA,-40.166667,-19.166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21898.1026115429
44,Rio Doce,10.1613183562598,7.52272004699676,8,8,0.298969066286204,-42.65,-19.716667,0.298969060182571,0.997996393508411,0.997996389865875,0.936302459256137,0.936302483081818,0.084812108559499,0.0848121121525764,1,1,0.390236356429748,0.390236347913742,1,233896.672882084
45,Rio Preto,8.41063448861656,7.66547825614843,11,11,0.0721649478795121,-39.8225,-18.3552777777778,0.0721649471670389,0.968142669012773,0.968142658472061,0.80825624503059,0.808256238698959,0.94428496868476,0.944284975528717,0.94479569818891,0.944795697927475,0.818561669227696,0.818561673164368,1,13791.2991074119
46,Rosemary,7.99552943252188,10.9469417396971,9,9,0.216494838069803,-42.860578,-22.530958,0.216494838707149,0.991685045288948,0.991685047745705,0.956599016836497,0.95659901201725,0.952244258872651,0.952244251966476,0.927084252913155,0.927084252238274,0.873858057689406,0.873858049511909,1,23332.9978565589
48,Santa Lúcia,10.1984993433366,5.77169161789018,15,15,0.432989682822086,-40.5272222222222,-19965,0.432989671826363,1,1,0.948997428169507,0.948997408151627,0.992562630480167,0.992562621831894,0.984641255597076,0.984641253948212,0.980578435389587,0.980578452348709,1,29765.2754078594
51,Serra dos Órgãos,12.5299704425128,6.72951125075996,32,32,0.123711338055239,-42.993333,-22.474444,0.123711339508494,0.999899813560899,0.999899804592133,0.794308061329104,0.794308046499888,0.995563674321503,0.995563685894012,0.918644294728068,0.918644309043884,0.837648346728422,0.837648351987203,1,22705.0883592085
53,Sooretama,8.91216243094805,4.11790097397139,6,6,0.164948449750321,-40.14527,-19.05555,0.16494844853878,0.999599254243595,0.999599277973175,0.939980503865618,0.939980506896973,0.805323590814196,0.805323600769043,0.945115879682756,0.945115864276886,0.742886641066701,0.742886662483215,1,23396.6713686233
