"","id","museu","gaveta","sp","pop","coletor","id.coletor","localidade","municipio","uf","lon","lat","alt","xy.original","ano","mes","dia","morte","pele","cranio","esqueleto","sexo","dentes","classe","idade","peso","peso.morto","compr.total","compr.corpo","compr.cauda","tarso.c.unha","tarso.s.unha","orelha.int","orelha.ext","medido","gls","cb","nas","bbc","zb","poc","ic","lbasi","bps","bam","can","pl","max","sm","mad","alpcor","larcon","size","shape","nas.gls","can.bam","pl.cb","bam.pl","sm.max","alpcor.mad","obs","replicas","gls.1","cb.1","nas.1","bbc.1","zb.1","poc.1","ic.1","lbasi.1","bps.1","bam.1","can.1","pl.1","max.1","sm.1","mad.1","alpcor.1","larcon.1","gls.2","cb.2","nas.2","bbc.2","zb.2","poc.2","ic.2","lbasi.2","bps.2","bam.2","can.2","pl.2","max.2","sm.2","mad.2","alpcor.2","larcon.2","gls.3","cb.3","nas.3","bbc.3","zb.3","poc.3","ic.3","lbasi.3","bps.3","bam.3","can.3","pl.3","max.3","sm.3","mad.3","alpcor.3","larcon.3","gls.4","cb.4","nas.4","bbc.4","zb.4","poc.4","ic.4","lbasi.4","bps.4","bam.4","can.4","pl.4","max.4","sm.4","mad.4","alpcor.4","larcon.4"
"5","MN8656","MNHN","13,12,3","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 19959","Aritaguá – Urucutuca, Alagado","Ilhéus","BA","-39.116667","-14.65","",TRUE,1944,10,7,"","ok","ok","","male","p3m4",6,"adulto","","70","370",160,"210",23,22,"25","29",TRUE,-0.551139891345258,-0.144263901640628,-2.24766316924896,-0.776756465076453,0.017761589371279,0.375814148312774,0.0144343309822936,-0.349795122865629,-0.163079751030575,-0.226799856994202,0.0910546486487309,-0.522482628922507,0.224625068693257,-0.106746103547245,-0.588784584948797,-0.322595996436725,-0.16619261104655,28.9373754856932,0.508253264350825,0.444635403879204,0.540859309182814,0.559990145355999,0.52221733391993,0.442873969375736,0.398528920093614,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MN11136","MNHN","13,12,4","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 22507","Aritaguá – Urucutuca, Alagado","Ilhéus","BA","-39.116667","-14.65","",TRUE,1944,11,26,"","ok","ok","","female","p3m4",6,"adulto","","52","323",138,"185",20,18,"20","24",TRUE,-0.446585275272767,-0.467085058977474,-0.0758986481936184,0.000814784054512074,0.245958611019169,0.264938456219389,-0.151940439623464,-0.00741666010570441,0.454259489742621,-0.274879649442354,0.0598657026604394,-0.222126751843224,0.0646009946201094,-0.0882365670207559,0.153005136061314,NA,-0.136484892432676,26.1096533872053,0.517355371900826,0.480086114101184,0.507233273056058,0.577410468319559,0.527671755725191,0.46227621483376,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MN8638","MNHN","13,12,2","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 22511","Aritaguá – Urucutuca, Alagado","Ilhéus","BA","-39.116667","-14.65","",TRUE,1944,11,26,"","ok","parcial","","female","",NA,"adulto","","62","319",139,"180",21,19,"19","23",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493705035971223,NA,0.521575984990619,0.472276581865623,0.374729241877256,"crânio parcial, falta uma parte posterior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MN11145","MNHN","13,13,2","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 23263","Aritaguá – Urucutuca, Alagado","Ilhéus","BA","-39.116667","-14.65","",TRUE,1945,1,10,"","ok","ok","","male","p3m4",6,"adulto","","75","365",155,"210",21,19,"20","23",TRUE,0.733002364843941,0.340037990919903,0.446450446213269,-1.45364569849366,-0.236201226550364,0.192169580677183,-0.107331118497218,-0.309644999785643,-0.296742351052871,0.0434283170608243,0.218405938792388,0.204890075119859,0.403649127957074,-0.139292086026329,0.776537938551076,-0.625539372721095,-0.178504022131815,29.418998963255,0.496526946107784,0.49765478424015,0.54441727791361,0.570299401197605,0.515329693406132,0.434331797235023,0.373073293488518,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MN11111","MNHN","13,12,4","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 23632","Aritaguá – Urucutuca, Alagado","Ilhéus","BA","-39.116667","-14.65","",TRUE,1945,3,1,"","ok","ok","","female","p3m4",6,"adulto","","58","333",135,"198",20,19,"22","26",TRUE,-0.264365912462942,-0.263619071993674,0.0338415047128393,-1.23518957958751,0.128696198825956,-0.698628001637668,-0.517269662978141,-0.730487746755186,NA,0.832141272832981,-0.226504735587028,-0.367814811430321,-0.212315715419129,-0.110179410771719,0.546287267160931,NA,-0.104574592040525,26.6774061707655,0.511528150134048,0.484243697478992,0.444805194805195,0.56916890080429,0.580310880829016,0.466025641025641,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","MN11108","MNHN","13,12,4","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 23691","Aritaguá – Urucutuca, Alagado","Ilhéus","BA","-39.116667","-14.65","",TRUE,1945,3,4,"","ok","ok","","female","p3m4",6,"adulto","","65","343",147,"196",22,21,"25","32",TRUE,0.481721327412188,-0.223417896288638,-0.285273986600522,-0.557813020533361,0.106893778124029,-0.16197251867005,-0.51283094372674,-0.0458228015658744,0.0868471059028062,0.0668154357128188,0.077829672080779,-0.469459509442519,-0.186050640240948,-0.136385004034581,-0.394495288041785,-0.711300055471634,-0.11839051602718,26.7342851035894,0.510422234099412,0.467095115681234,0.501296456352636,0.56574024585783,0.546528105810109,0.463258785942492,0.375495495495495,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","MN8619","MNHN","13,12,1","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 19139","Aritaguá – Urucutuca, Alagado (Brejo)","Ilhéus","BA","-39.116667","-14.65","",TRUE,1944,8,15,"","ok","ok","","male","p3m4 (gastos)",7,"adulto","","72","375",165,"210",22,22,"22","25",TRUE,1.11344209272303,1.1389869659873,0.499110092521367,-0.80370171157311,-0.590479514276765,0.742940206958938,0.4217276660261,-0.596678385187142,0.434743237159008,0.316146703107306,0.260273790650088,0.346364381301534,0.522820730042579,-0.0821780539621573,0.673386737501293,0.2571028971294,0.0842572154240879,27.8872730828957,0.476485148514852,0.486229588106264,0.519373454245672,0.56509900990099,0.53131844064827,0.441211401425178,0.398336106489185,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MN11154","MNHN","13,13,2","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 19125","Aritaguá – Urucutuca, Alagado (Ilha)","Ilhéus","BA","-39.116667","-14.65","",TRUE,1944,8,14,"","ok","ok","","female","p3m4",6,"adulto","","27","280",120,"160",18,17,"22","25",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444643390032826,0.473887814313346,0.583699059561129,0.55531686358754,0.495476687543493,0.386892177589852,"crânio com zigomático quebrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MN8610","MNHN","13,12,1","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 19141","Aritaguá – Urucutuca, Alagado (Ilha)","Ilhéus","BA","-39.116667","-14.65","",TRUE,1944,11,15,"","ok","ok","","male","p3m4",6,"adulto","","56","372",150,"222",23,22,"23","26",TRUE,1.43598543963451,1.38711284797606,1.32046079332838,-0.382927082656895,-0.677581725983817,-0.160365504096305,-0.0898260391367236,-0.59344309133054,0.333943699044032,0.0091696720872303,0.271122850481449,1.09562910656718,0.679542815330212,0.200764673456962,0.623482401549449,-0.182009492132339,-0.0778448900199114,26.5770954018681,0.468951301211028,0.495334174022699,0.518744551002616,0.582839474362278,0.507073386383731,0.460182370820669,0.38006993006993,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","MN11147","MNHN","13,13,2","Marmosops incanus","","Serviço de Estudos e Pesquisas sobre a Febre Amarela","M 19085","Aritaguá – Urucutuca, Brejo","Ilhéus","BA","-39.116667","-14.65","",TRUE,1944,8,11,"","ok","ok","","male","p3m4",6,"adulto","","75","400",165,"235",28,27,"27","29",TRUE,0.379563270902892,0.423218668273236,-0.117649600311562,-0.430770812243988,-0.263072217719088,-0.143158642111997,0.218794886004478,-0.0260794702989831,-0.224813756096616,0.366889518694959,0.205712564782651,0.12623394379397,0.442286237173914,-0.389055814050523,-0.185511707990912,-1.01080594408606,-0.215314553597088,28.7752306680589,0.494258490105057,0.484921592279855,0.522544283413849,0.568287319814317,0.53396388650043,0.42148277875073,0.369940278699403,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
