id,museu,sp,pop,coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,sexo,dentes,classe,idade,peso.morto,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
MN8656,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,10,7,male,p3m4,6,adulto,70,40.73,40.59,18.11,13.15,20.63,6.58,8.21,13,6.71,11.87,6.42,22.73,16.98,7.52,29.91,11.92,1.21,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN11136,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,11,26,female,p3m4,6,adulto,52,37.16,36.3,17.84,13.3,18.78,6.8,7.27,12.58,6.66,11.06,5.61,20.96,15.64,7.23,27.63,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN8638,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,11,26,female,,,adulto,62,,,18.15,13.29,18.73,6.7,8.83,,,11.12,5.49,21.32,15.33,7.24,27.7,10.38,1.4,"crânio parcial, falta uma parte posterior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN11145,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1945,1,10,male,p3m4,6,adulto,75,42.64,41.75,21.22,12.58,20.73,6.34,8.22,13.17,6.69,12.27,6.68,23.81,17.36,7.54,31.79,11.86,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN11111,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1945,3,1,female,p3m4,6,adulto,58,38.08,37.3,18.44,12.19,19.08,5.77,7.06,12.01,,12.32,5.48,21.23,15.6,7.27,28.63,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN11108,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1945,3,4,female,p3m4,6,adulto,65,38.9,37.42,18.17,12.88,19.1,6.3,7.08,12.71,6.44,11.57,5.8,21.17,15.65,7.25,27.75,10.42,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN8619,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado (Brejo)",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,8,15,male,p3m4 (gastos),7,adulto,72,41.03,40.4,19.95,12.89,19.25,7.07,8.33,12.47,7.06,12.13,6.3,22.83,16.84,7.43,30.05,11.97,1.39,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN11154,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado (Ilha)",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,8,14,female,p3m4,6,adulto,27,33.51,31.9,14.9,12.66,,6.67,7.2,11.57,5.47,10.34,4.9,18.62,14.37,7.12,23.65,9.15,1.04,crânio com zigomático quebrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN8610,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Alagado (Ilha)",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,11,15,male,p3m4,6,adulto,56,39.65,38.81,19.64,13.02,18.2,6.32,7.46,12.12,6.65,11.47,5.95,22.62,16.45,7.57,28.6,10.87,1.14,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN11147,MNHN,Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,"Aritaguá – Urucutuca, Brejo",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,8,11,male,p3m4,6,adulto,75,41.45,40.93,20.1,13.46,20.23,6.08,8.37,13.28,6.61,12.42,6.49,23.26,17.13,7.22,30.14,11.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
