sp,lon,lat
Marmosops incanus,-37.4167,-11.25
Marmosops incanus,-41.31389,-12.72778
Marmosops incanus,-39.4657,-12.8571
Marmosops incanus,-39.449,-12.9602
Marmosops incanus,-39.1667,-13.8333
Marmosops incanus,-39.284,-13.848
Marmosops incanus,-39.238,-15.895
Marmosops incanus,-43.51694,-19.25778
Marmosops incanus,-43.61708,-19.37201
Marmosops incanus,-42.55,-19.6
Marmosops incanus,-43.3722,-19.8869
Marmosops incanus,-41.8,-20.4667
Marmosops incanus,-43.6125,-20.4958
Marmosops incanus,-41.181389,-20.598333
Marmosops incanus,-42.4,-20.6
Marmosops incanus,-45.88333,-20.75
Marmosops incanus,-41.830003,-20.883647
Marmosops incanus,-44.8365,-20.8992
Marmosops incanus,-41.90308,-20.94697
Marmosops incanus,-44,-21.0002
Marmosops incanus,-42.216092,-21.353164
Marmosops incanus,-44.6167,-21.2667
Marmosops incanus,-44.975,-21.3
Marmosops incanus,-42.117728,-21.092633
Marmosops incanus,-41.858722,-21.486128
Marmosops incanus,-44.57708,-21.5932
Marmosops incanus,-44.6252,-22.4365
Marmosops incanus,-43.11278,-22.48685
Marmosops incanus,-42.3069,-22.5439
Marmosops incanus,-42.8667,-22.6139
Marmosops incanus,-45.1667,-23.375
Marmosops incanus,-46.9531,-23.6902
Marmosops incanus,-47.4963,-23.8792
Marmosops incanus,-47.6886,-23.9136
Marmosops incanus,-48.3508,-24.1614
Marmosops incanus,-40.0667,-19.15
Marmosops incanus,-43.402257,-22.93956
Marmosops incanus,-43.483333,-19.966667
Marmosops incanus,-41.24575,-16.728306
Marmosops incanus,-44.108972,-22.920028
Marmosops incanus,-41.610444,-17.121556
Marmosops incanus,-43.403222,-18.270139
Marmosops incanus,-43.241278,-18.198528
Marmosops incanus,-42.953767,-22.563
Marmosops incanus,-42.05,-22.233333
Marmosops incanus,-44.483333,-23
Marmosops incanus,-40.166667,-19.166667
Marmosops incanus,-44.180481,-23.14591
Marmosops incanus,-42.988889,-22.462778
Marmosops incanus,-41.8,-20.366667
Marmosops incanus,-42.5,-22.433333
Marmosops incanus,-43.542056,-18.397583
Marmosops incanus,-44.300551,-23.173482
Marmosops incanus,-42.733333,-22.4
Marmosops incanus,-43.9,-22.633333
Marmosops incanus,-43.2035,-18.079833
Marmosops incanus,-42.863414,-22.496003
Marmosops incanus,-41.574983,-15.737511
Marmosops incanus,-42.574983,-16.737511
Marmosops incanus,-43.187278,-22.029583
Marmosops incanus,-42.470667,-21.77085
Marmosops incanus,-42.200045,-21.605482
Marmosops incanus,-40.699083,-20.345556
Marmosops incanus,-43.433333,-22.6
Marmosops incanus,-45.9,-23.65
Marmosops incanus,-41.83333,-19.83333
Marmosops incanus,-40.16667,-19.83333
Marmosops incanus,-41.408222,-12.533333
Marmosops incanus,-45.35,-23.81667
Marmosops incanus,-41.357361,-12.610528
Marmosops incanus,-48.4166666667,-24.3333333333
Marmosops incanus,-44.997846,-19.501402
Marmosops incanus,-43.991832,-20.014785
Marmosops incanus,-43.903293,-20.137149
Marmosops incanus,-43.211234,-19.934503
Marmosops incanus,-43.787522,-19.863949
Marmosops incanus,-43.533426,-20.258588
Marmosops incanus,-43.132593,-16.054252
Marmosops incanus,-44.229304,-20.11494
Marmosops incanus,-43.905,-19.947
Marmosops incanus,-41.154553,-19.492291
Marmosops incanus,-44.652793,-22.094372
Marmosops incanus,-43.382528,-18.951583
Marmosops incanus,-40.357311,-16.161266
Marmosops incanus,-40.516667,-15.8
Marmosops incanus,-43.267917,-19.604167
Marmosops incanus,-44.390916,-20.29202
Marmosops incanus,-43.413903,-20.132547
Marmosops incanus,-43.9201,-20.229105
Marmosops incanus,-41.866543,-15.614841
Marmosops incanus,-40.6144,-20.13924
Marmosops incanus,-40.768634,-19.80408
Marmosops incanus,-40.4833333333333,-20.51583
Marmosops incanus,-42.0144,-15.3136
Marmosops incanus,-40.7713888888889,-19.2044444444444
Marmosops incanus,-40.5394444444444,-19.965
Marmosops incanus,-41.25411,-21.01311
Marmosops incanus,-39.8441666666667,-18.3552777777778
Marmosops incanus,-40.7197222222222,-18.9797222222222
Marmosops incanus,-40.8091666666667,-18.9161111111111
Marmosops incanus,-40.9666666666667,-20.4
Marmosops incanus,-41.0838905,-20.5166683
Marmosops incanus,-41.122222,-20.290833
Marmosops incanus,-41.7030555555556,-20.4972222222222
Marmosops incanus,-41.67083,-20.95806
Marmosops incanus,-40.12611,-18.32444
Marmosops incanus,-40.2133,-18.3703
Marmosops incanus,-40.14527,-19.05555
Marmosops incanus,-40.5113888888889,-20.2811111111111
Marmosops incanus,-40.8,-20.53
Marmosops incanus,-40.511,-20.658
Marmosops incanus,-41.71917,-21.0425
Marmosops incanus,-40.31448,-20.15842
Marmosops incanus,-47.99204,-24.06649
Marmosops incanus,-40.48,-19.26
Marmosops incanus,-40.4580555555556,-20.3788888888889
Marmosops incanus,-42.766667,-17.133333
Marmosops incanus,-39.706721,-13.578853
Marmosops incanus,-43.339061,-19.766069
Marmosops incanus,-39.914019,-16.599294
Marmosops incanus,-39.0003602971657,-15.350463862177
Marmosops incanus,-43.906944,-17.392222
Marmosops incanus,-39.635883,-15.926917
Marmosops incanus,-39.451174,-13.952823
Marmosops incanus,-39.086944,-14.343611
Marmosops incanus,-41.261389,-12.801667
Marmosops incanus,-39.95,-19.133333
Marmosops incanus,-39.232666,-13.70101
Marmosops incanus,-39.376375,-16.332289
Marmosops incanus,-43.981789,-20.605481
Marmosops incanus,-47.731389,-19.119444
Marmosops incanus,-43.440833,-20.221667
Marmosops incanus,-42.483333,-20.716667
Marmosops incanus,-43.383333,-18.15
Marmosops incanus,-39.066667,-15.166667
Marmosops incanus,-43.5,-20.083333
Marmosops incanus,-42.2,-16.6
Marmosops incanus,-39.165833,-15.206389
Marmosops incanus,-39.383333,-15.233333
Marmosops incanus,-43.743056,-20.456111
Marmosops incanus,-40.683333,-16.233333
Marmosops incanus,-43.883333,-21.691667
Marmosops incanus,-42.65,-19.716667
Marmosops incanus,-42.216667,-16.833333
