id,museu,gaveta,sp,pop,coletor,id.coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,morte,pele,cranio,esqueleto,sexo,dentes,classe,idade,peso,peso.morto,compr.total,compr.corpo,compr.cauda,tarso.c.unha,tarso.s.unha,orelha.int,orelha.ext,medido,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,size,shape,nas.gls,can.bam,pl.cb,bam.pl,sm.max,alpcor.mad,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
MN8656,MNHN,"13,12,3",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 19959,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,10,7,,ok,ok,,male,p3m4,6,adulto,,70,370,160,210,23,22,25,29,TRUE,-0.01376704530424755,-0.003752377317756128,-0.11780519356033903,-0.05780815497982239,0.0011762730277236066,0.059578387242937625,0.0022688724803430205,-0.02703483205495205,-0.02510566685963833,-0.019420320419765158,0.015148651270328717,-0.023222474810352,0.013057047994275539,-0.01453550218417865,-0.019818405914529436,-0.026327731116533748,-0.12927753056200847,28.9373754856932,0.508253264350825,0.444635403879204,0.540859309182814,0.559990145355999,0.52221733391993,0.442873969375736,0.398528920093614,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN11136,MNHN,"13,12,4",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 22507,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,11,26,,ok,ok,,female,p3m4,6,adulto,,52,323,138,185,20,18,20,24,TRUE,-0.012180727672100211,-0.01274512118677773,-0.0028074466908734053,-7.360397466418256e-4,0.01323116564773441,0.04217684904987995,-0.020948514623280623,-0.0013708428980452325,0.07093493324388445,-0.02528707048772727,0.011848909136922714,-0.010725965248121305,0.0034413653123106513,-0.012900743133195114,0.005695248260170427,NA,-0.11954141404167296,26.1096533872053,0.517355371900826,0.480086114101184,0.507233273056058,0.577410468319559,0.527671755725191,0.46227621483376,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN8638,MNHN,"13,12,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 22511,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,11,26,,ok,parcial,,female,,NA,adulto,,62,319,139,180,21,19,19,23,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493705035971223,NA,0.521575984990619,0.472276581865623,0.374729241877256,"crânio parcial, falta uma parte posterior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN11145,MNHN,"13,13,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 23263,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1945,1,10,,ok,ok,,male,p3m4,6,adulto,,75,365,155,210,21,19,20,23,TRUE,0.017080845799737787,0.007937573173772527,0.01980332535848328,-0.10946246570835738,-0.011005230300337399,0.030495140226589168,-0.012306215434371826,-0.023434231098161007,-0.04470834999234352,0.0033186793380077795,0.03372856262437618,0.00817777641594608,0.023537231765725863,-0.018454879676042424,0.024316723802281892,-0.05133425321522456,-0.1372139727187989,29.418998963255,0.496526946107784,0.49765478424015003,0.54441727791361,0.570299401197605,0.515329693406132,0.434331797235023,0.373073293488518,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN11111,MNHN,"13,12,4",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 23632,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1945,3,1,,ok,ok,,female,p3m4,6,adulto,,58,333,135,198,20,19,22,26,TRUE,-0.007246696545815556,-0.007056806764705215,0.0030715929742606285,-0.09745084860780784,0.006902247370973225,-0.11155310071454139,-0.07084076772836667,-0.059978768655975845,NA,0.06904307493420259,-0.039120763447556994,-0.017500687807771254,-0.014305080161511885,-0.01595274029470617,0.019323070539189136,NA,-0.086710680989702,26.6774061707655,0.511528150134048,0.484243697478992,0.444805194805195,0.56916890080429,0.580310880829016,0.466025641025641,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN11108,MNHN,"13,12,4",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 23691,"Aritaguá – Urucutuca, Alagado",Ilhéus,BA,-39.116667,-14.65,,TRUE,1945,3,4,,ok,ok,,female,p3m4,6,adulto,,65,343,147,196,22,21,25,32,TRUE,0.012125499613903301,-0.005972206838488869,-0.014371743333228881,-0.04333824518353069,0.005754223058632935,-0.02263393460983898,-0.07004957975257109,-0.004541099266838433,0.013543365044023092,0.004892237734634541,0.014906973961783532,-0.02226885881363927,-0.01260856341798311,-0.019555980568323417,-0.014066956602712732,-0.06506326985186384,-0.09881864990072856,26.7342851035894,0.510422234099412,0.467095115681234,0.501296456352636,0.56574024585783,0.546528105810109,0.463258785942492,0.375495495495495,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN8619,MNHN,"13,12,1",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 19139,"Aritaguá – Urucutuca, Alagado (Brejo)",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,8,15,,ok,ok,,male,p3m4 (gastos),7,adulto,,72,375,165,210,22,22,22,25,TRUE,0.02711639995503745,0.02847698237071361,0.025697181589434237,-0.06133972776592689,-0.02995234516978096,0.11332673917128866,0.05214349930773876,-0.047627777456813014,0.0629524836465798,0.02554513675218084,0.04357440040859584,0.01480134271939093,0.03087114238679156,-0.01185134330351234,0.022525103578557193,0.022555417014368473,0.0638889476945727,27.8872730828957,0.476485148514852,0.486229588106264,0.519373454245672,0.56509900990099,0.53131844064827,0.441211401425178,0.398336106489185,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN11154,MNHN,"13,13,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 19125,"Aritaguá – Urucutuca, Alagado (Ilha)",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,8,14,,ok,ok,,female,p3m4,6,adulto,,27,280,120,160,18,17,22,25,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444643390032826,0.473887814313346,0.583699059561129,0.55531686358754,0.495476687543493,0.386892177589852,crânio com zigomático quebrado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN8610,MNHN,"13,12,1",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 19141,"Aritaguá – Urucutuca, Alagado (Ilha)",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,11,15,,ok,ok,,male,p3m4,6,adulto,,56,372,150,222,23,22,23,26,TRUE,0.03657383928943414,0.03639072741719751,0.0708810324833613,-0.029904803073086406,-0.03643310233913244,-0.022348368987950895,-0.012126196172004278,-0.04871803926399876,0.051568373771400555,-7.149132981476569e-5,0.0479854501873227,0.049346389168211324,0.04140883500334924,0.02598470886064308,0.022114268782229995,-0.015652739033986673,-0.0634583407711887,26.5770954018681,0.468951301211028,0.495334174022699,0.518744551002616,0.582839474362278,0.507073386383731,0.460182370820669,0.38006993006993,"Coordenada de Vaz, 2005. Arq Mus Nac, 63(1):21-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN11147,MNHN,"13,13,2",Marmosops incanus,,Serviço de Estudos e Pesquisas sobre a Febre Amarela,M 19085,"Aritaguá – Urucutuca, Brejo",Ilhéus,BA,-39.116667,-14.65,,TRUE,1944,8,11,,ok,ok,,male,p3m4,6,adulto,,75,400,165,235,28,27,27,29,TRUE,0.008855268834407681,0.010201810102825615,-0.006444803825293111,-0.03200869493492364,-0.01261058411672522,-0.022199712820413886,0.026945740287210196,-0.002528050627156997,-0.03446413842113705,0.029415206645849512,0.03318254265552856,0.0049399384829280635,0.02581877243741504,-0.05300833762366142,-0.006431078412868718,-0.08631119330084891,-0.17185364837279213,28.7752306680589,0.494258490105057,0.484921592279855,0.522544283413849,0.568287319814317,0.53396388650043,0.42148277875073,0.369940278699403,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
