"","p","%","ICC"
"gls",2.79732135809485e-119,0.0263541287286838,0.999736458712713
"cb",1.10641354676931e-106,0.023271637890982,0.99976728362109
"nas",2.52689279231192e-57,1.18852029466938,0.988114797053306
"bbc",1.47274171603653e-31,8.12412808083044,0.918758719191696
"zb",9.86430873157112e-62,0.876432933344957,0.99123567066655
"poc",1.06404438372063e-43,3.61237330759109,0.963876266924089
"ic",8.75285667671113e-30,9.16326334601605,0.90836736653984
"lbasi",4.33356675366885e-71,0.459702553313133,0.995402974466869
"bps",2.14569637136544e-27,8.6310128621602,0.913689871378398
"bam",2.04980218253646e-43,3.68099729360103,0.96319002706399
"can",1.24864640925033e-68,0.706485442153624,0.992935145578464
"pl",5.8094858985974e-96,0.0830184986447675,0.999169815013552
"max",1.82654636136534e-81,0.306673355471364,0.996933266445286
"sm",8.1225243679226e-26,12.0270621517476,0.879729378482524
"mad",9.71138082859128e-85,0.247919704995992,0.99752080295004
"alpcor",2.30977503450328e-61,1.13437447156799,0.98865625528432
"larcon",1.3828742565096e-17,21.5376964101654,0.784623035898346
