trait,male-slope,male-r²,male-p,female-slope,female-r²,female-p,slope-test,shift-test
gls,0.8812700271660467,0.9764795568868981,4.134264597406922e-39,0.8764134025131826,0.9270223432761078,3.352770857969441e-23,0.9113420493783625,8.328540191837597e-6
cb,0.9756926788667153,0.9834187870124933,1.3269489371936763e-42,0.9496666340130109,0.9498116591224721,5.970390210639578e-27,0.508732319678171,6.223959469919826e-6
nas,1.2556330715719843,0.92832694705626,2.1128310424783923e-16,1.4350898912410734,0.851045263389435,2.9670960155173904e-12,0.15513830268262563,3.450109604899998e-4
bbc,0.3776694549470021,0.5941342325318557,1.472552228390562e-10,0.45101515444693335,0.305816691861347,1.7707304317919525e-4,0.2807655695562904,1.1315061745342803e-5
zb,1.0404142048707585,0.9853146939669987,8.120594732426937e-44,1.0951875363857577,0.9622922926364653,2.2487644999538637e-29,0.1583365304625215,1.597642105682917e-4
poc,-0.40176891395370096,0.12275763772539834,0.014631561599469985,-0.6493794187088883,0.01828455814144062,0.39926298938853244,0.024084456620062422,0.0018083164546182084
ic,0.938705157711346,0.8693287595877878,5.880297816772523e-22,0.8733556724825156,0.6166531261901104,1.2085994475291174e-9,0.524602856462413,5.897953092359742e-6
lbasi,0.5362526606959185,0.8878256428733295,1.7396170633216128e-23,0.5684936724815227,0.7757595069976745,3.1237185048590995e-14,0.5218992116754784,9.723963094399046e-6
bps,0.8971936679888635,0.8044675823992621,1.7709327013777622e-16,1.2653794332870847,0.6750719779307126,4.60170083035946e-10,0.004783379842376867,0.0030463995606326844
bam,0.5791376415159547,0.8222041999588923,7.193987469712659e-19,0.6884487585893354,0.7797838369254038,2.1890316594189397e-14,0.08057595024161734,0.0018042058573370934
can,1.2703784535965374,0.9372411835954569,2.680344537474369e-29,1.3570697513534336,0.8930819708148937,1.5610341233487448e-20,0.3075163699033624,6.913452322565572e-5
pl,0.8887136190743533,0.9414055352155325,4.018932457418861e-28,0.8868233081251156,0.9226896871137625,1.0052393495520386e-22,0.971041161141398,1.9041754107940179e-6
max,0.6330106124247074,0.8601534477528925,2.814778957972497e-21,0.6174048798703123,0.6562409475039241,1.401709679927216e-10,0.8197897969407585,1.526417158226323e-7
sm,0.3013452173966373,0.05955821150971257,0.09460141871761094,0.3905587706153189,0.005656343010940444,0.6402562586935969,0.22984109055453938,1.2775952518140343e-9
mad,0.9963123896046167,0.9754685015400649,1.0889825681409613e-38,1.0094151457215184,0.9365960414396198,5.733277287387002e-25,0.7799639262309791,9.904860104659186e-6
alpcor,1.1160393161231066,0.8735731891239223,2.7450637463749764e-22,1.2954107059452782,0.739162501744201,1.2080843681953265e-12,0.1336976965134382,2.6602820580312603e-5
larcon,1.383123298566667,0.5833102946817695,2.7207990317786483e-10,1.7834904948044594,0.3176436964379259,1.2457467293566785e-4,0.12277186116373251,1.3614296234298884e-4
